Volatility 3 Framework 2.28.0

Plugin	Description	Created Date	Modified Date	Accessed Date	Changed Date

PsList	Process: 4 System (157810084429952)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 68 Registry (157810085773440)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 296 smss.exe (157810098046720)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 404 csrss.exe (157810093047936)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 480 csrss.exe (157810155516224)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 496 wininit.exe (157810155589760)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 536 winlogon.exe (157810097443008)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 600 services.exe (157810155778176)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 608 lsass.exe (157810155749504)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 704 svchost.exe (157810156552704)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 724 fontdrvhost.ex (157810146267264)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 732 fontdrvhost.ex (157810156224640)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 796 svchost.exe (157810156261504)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 884 dwm.exe (157810157125760)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 1008 svchost.exe (157810154611328)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 1020 svchost.exe (157810154644096)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 348 svchost.exe (157810154397824)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 320 svchost.exe (157810157384384)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsList	Process: 428 svchost.exe (157810154824320)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
