TreeDepth,Offset,Name
0,0x8f870605a510,\\Windows\\System32\\Windows.ApplicationModel.dll
0,0x8f87060897d0,\\Windows\\System32\\drivers\\cldflt.sys
0,0x8f8706089940,\\$PrepareToShrinkFileSize
0,0x8f8706089ab0,\\$PrepareToShrinkFileSize
0,0x8f8706089c20,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventLog-Microsoft-Windows-Sysmon-Operational.etl
0,0x8f8706089d90,\\$PrepareToShrinkFileSize
0,0x8f870688a0c0,\\$Directory
0,0x8f870688a250,\\Windows
0,0x8f870688a3e0,\\$Directory
0,0x8f870688c380,\\Windows\\System32\\drivers\\mssmbios.sys
0,0x8f870688c4f0,\\Windows\\System32\\drivers\\netbios.sys
0,0x8f870688cc20,\\Windows\\System32\\drivers\\rdbss.sys
0,0x8f870688cd90,\\Windows\\System32\\drivers\\pacer.sys
0,0x8f870688d1e0,\\Windows\\System32\\drivers\\afd.sys
0,0x8f870688d7a0,\\Windows\\System32\\drivers\\npsvctrig.sys
0,0x8f870688d910,\\Windows\\System32\\drivers\\dfsc.sys
0,0x8f870688da80,\\Windows\\System32\\drivers\\nsiproxy.sys
0,0x8f8706a73380,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0x8f8706a734f0,\\$BitMap
0,0x8f8706a73660,\\$Mft::$BITMAP
0,0x8f8706a737d0,\\$MftMirr
0,0x8f8706a73940,\\$MapAttributeValue
0,0x8f8706a73ab0,\\$Secure:$SII:$INDEX_ALLOCATION
0,0x8f8706a73c20,\\:$I30:$INDEX_ALLOCATION
0,0x8f8706a73d90,\\$Extend:$I30:$INDEX_ALLOCATION
0,0x8f8706a741e0,쾉쾮쾉쾮ᒞ
0,0x8f8706a744c0,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x8f8706a747a0,\\$LogFile
0,0x8f8706a74910,\\$Secure:$SDS:$DATA
0,0x8f8706a74bf0,\\$Mft
0,0x8f8706c98380,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0x8f8706c987d0,TxfLog
0,0x8f8706c98ab0,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0x8f8706c98d90,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0x8f8706c99070,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0x8f8706c991e0,\\$Extend\\$UsnJrnl:$J:$DATA
0,0x8f8706c99630,\\$Extend\\$RmMetadata\\$Repair
0,0x8f8706c997a0,\\Windows\\System32\\drivers\\Dumpata.sys
0,0x8f8706c99bf0,\\Windows\\System32\\drivers\\atapi.sys
0,0x8f8706c99d60,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0x8f8706c99ed0,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0x8f8706cad210,\\$Directory
0,0x8f8706cad380,\\$Directory
0,0x8f8706cad4f0,\\$Directory
0,0x8f8706cad660,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0x8f8706cad7d0,\\Windows\\System32\\drivers\\en-US\\ntfs.sys.mui
0,0x8f8706cad940,\\$Directory
0,0x8f8706cadc20,\\:$I30:$INDEX_ALLOCATION
0,0x8f8706cae070,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0x8f8706cae1e0,\\$Directory
0,0x8f8706cae350,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x8f8706cae4c0,\\$Extend\\$Reparse:$R:$INDEX_ALLOCATION
0,0x8f8706cae630,KtmLog
0,0x8f8706cae7a0,\\$Directory
0,0x8f8706caebf0,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x8f8706caeed0,\\Windows\\System32\\drivers\\crashdmp.sys
0,0x8f8706cc2380,\\Windows\\System32\\drivers\\tbs.sys
0,0x8f8706cc24f0,\\Windows\\System32\\vertdll.dll
0,0x8f8706cc27d0,\\Windows\\SysWOW64\\ntdll.dll
0,0x8f8706cc2ab0,\\$Directory
0,0x8f8706cc34c0,\\Windows\\System32\\drivers\\cdrom.sys
0,0x8f8706cc37a0,\\Windows\\System32\\drivers\\null.sys
0,0x8f8706cc3910,\\Windows\\System32\\drivers\\filecrypt.sys
0,0x8f8706cc3d60,\\Windows\\System32\\ntdll.dll
0,0x8f8706cd7ab0,\\$Directory
0,0x8f8706cd7d90,\\Windows\\System32\\drivers\\netbt.sys
0,0x8f8706cd8350,穠ು䋠ദ툖푏툖푏ᒳ
0,0x8f8706cd87a0,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_5103ac179273be89\\BasicDisplay.sys
0,0x8f8706cd8910,\\Windows\\System32\\drivers\\watchdog.sys
0,0x8f8706cd8d60,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0x8f8706cfe210,\\Windows\\System32\\drivers\\tdx.sys
0,0x8f8706cfe4f0,\\Windows\\System32\\drivers\\msfs.sys
0,0x8f8706cff070,\\Windows\\System32\\drivers\\afunix.sys
0,0x8f8706cff4c0,\\Windows\\System32\\drivers\\tdi.sys
0,0x8f8706cff630,\\Windows\\System32\\drivers\\npfs.sys
0,0x8f8706d4d7d0,\\Windows\\System32\\drivers\\ahcache.sys
0,0x8f8706d4dc20,\\Windows\\System32\\drivers\\bam.sys
0,0x8f8706d4e1e0,\\Windows\\bootstat.dat
0,0x8f8706d4e4c0,\\Windows\\System32\\DriverStore\\FileRepository\\compositebus.inf_amd64_e4d35af746093dc3\\CompositeBus.sys
0,0x8f8706d6e210,\\Windows\\System32\\drivers\\serial.sys
0,0x8f8706d6e380,\\Windows\\System32\\smss.exe
