TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x8f8706092050,TCPv4,0.0.0.0,3389,0.0.0.0,0,LISTENING,1008,svchost.exe,2024-08-30 22:38:39.000000 UTC
0,0x8f8706092050,TCPv6,::,3389,::,0,LISTENING,1008,svchost.exe,2024-08-30 22:38:39.000000 UTC
0,0x8f8706162010,TCPv4,192.168.0.104,49930,20.7.1.246,443,ESTABLISHED,-,-,N/A
0,0x8f870633ebd0,TCPv4,192.168.0.104,49937,192.168.0.1,445,ESTABLISHED,-,-,-
0,0x8f870634f1a0,UDPv4,0.0.0.0,3702,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f870634f1a0,UDPv6,::,3702,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f870634f2f0,UDPv4,0.0.0.0,3702,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f870634f830,UDPv4,0.0.0.0,61910,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f870634f830,UDPv6,::,61910,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f870634f980,UDPv4,0.0.0.0,5355,*,0,,972,svchost.exe,2024-08-30 22:45:50.000000 UTC
0,0x8f870634f980,UDPv6,::,5355,*,0,,972,svchost.exe,2024-08-30 22:45:50.000000 UTC
0,0x8f8706350010,UDPv4,0.0.0.0,61909,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f8706350550,UDPv4,0.0.0.0,3702,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f8706350550,UDPv6,::,3702,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f8706350940,UDPv4,0.0.0.0,5355,*,0,,972,svchost.exe,2024-08-30 22:45:50.000000 UTC
0,0x8f8706350d30,UDPv4,0.0.0.0,3702,*,0,,320,svchost.exe,2024-08-30 23:21:21.000000 UTC
0,0x8f8706cab050,UDPv4,0.0.0.0,5353,*,0,,972,svchost.exe,2024-08-30 22:45:48.000000 UTC
