TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x8f8706064080,99,-,N/A,False,2024-08-30 22:38:28.000000 UTC,N/A,-,-,-
1,296,4,smss.exe,0x8f8706d60700,2,-,N/A,False,2024-08-30 22:38:28.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\smss.exe,-,-
1,68,4,Registry,0x8f87061ac080,4,-,N/A,False,2024-08-30 22:38:26.000000 UTC,N/A,Registry,-,-
0,404,392,csrss.exe,0x8f870689c080,10,-,0,False,2024-08-30 22:38:34.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,480,472,csrss.exe,0x8f870a42f140,12,-,1,False,2024-08-30 22:38:36.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,496,392,wininit.exe,0x8f870a441080,1,-,0,False,2024-08-30 22:38:36.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\wininit.exe,-,-
1,600,496,services.exe,0x8f870a46f080,6,-,0,False,2024-08-30 22:38:36.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,1288,600,spoolsv.exe,0x8f870af0f080,6,-,0,False,2024-08-30 22:38:40.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
2,272,600,svchost.exe,0x8f870af89080,6,-,0,False,2024-08-30 22:41:15.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p,C:\\Windows\\system32\\svchost.exe
2,1172,600,svchost.exe,0x8f87061d7080,16,-,0,False,2024-08-30 22:38:38.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k ICService -p,C:\\Windows\\system32\\svchost.exe
2,792,600,svchost.exe,0x8f870a3c1200,28,-,0,False,2024-08-30 22:38:38.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
3,1672,792,ctfmon.exe,0x8f870b168080,8,-,1,False,2024-08-30 22:43:10.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\ctfmon.exe,"""ctfmon.exe""",C:\\Windows\\system32\\ctfmon.exe
2,1692,600,svchost.exe,0x8f870adb9080,4,-,0,False,2024-08-30 22:38:39.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,-,-
2,796,600,svchost.exe,0x8f870a4e5080,10,-,0,False,2024-08-30 22:38:37.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p,C:\\Windows\\system32\\svchost.exe
2,1568,600,svchost.exe,0x8f870ad2e080,5,-,0,False,2024-08-30 22:38:39.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\system32\\svchost.exe
2,5152,600,msiexec.exe,0x8f870be2f080,8,-,0,False,2024-08-30 23:21:51.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\msiexec.exe,C:\\Windows\\system32\\msiexec.exe /V,C:\\Windows\\system32\\msiexec.exe
3,88,5152,msiexec.exe,0x8f87250cb0c0,0,-,1,True,2024-08-30 23:21:52.000000 UTC,2024-08-30 23:22:16.000000 UTC,\\Device\\HarddiskVolume1\\Windows\\SysWOW64\\msiexec.exe,-,-
2,1320,600,msdtc.exe,0x8f8706193080,9,-,0,False,2024-08-30 22:40:46.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\msdtc.exe,-,-
2,428,600,svchost.exe,0x8f870a386280,5,-,0,False,2024-08-30 22:38:38.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService,C:\\Windows\\system32\\svchost.exe
2,2092,600,svchost.exe,0x8f870af8a080,6,-,0,False,2024-08-30 22:38:41.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k smbsvcs,C:\\Windows\\System32\\svchost.exe
2,1204,600,svchost.exe,0x8f870ac602c0,15,-,0,False,2024-08-30 22:38:38.000000 UTC,N/A,\\Device\\HarddiskVolume1\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p,C:\\Windows\\system32\\svchost.exe
